 CrII      2951.40   24 1    59           A184     10.         16.6
 CrII      2951.95   24 1    59           A184     10.
 V II      2952.07   23 1    2            A266    150.         14.1
 CrII      2953.358  24 1    27           B245     35.
 CrII      2953.706  24 1    66           B245     45.
 FeII      2953.774  26 1    2            A 76     11.         16.16
 FeI       2953.940  26 0    10           A164     50. R        7.858
 FeII      2954.050  26 1    61           A 76      4.
 V I       2954.332  23 0    18           C245     20.          6.71
 CrII      2954.67   24 1    104          D110     10.
 CrII      2955.12   24 1    59           A184     10.
 CrII      2955.71   24 1    58           A184      2.
 TiI       2956.133  22 0    30           A178     70. R        6.81
 CrII      2956.60   24 1    58           A184     10.
 TiI       2956.797  22 0    30           E245     25.
 CrI       2957.28   24 0                 B184      3. w        6.74
 V I       2957.33   23 0 ?  18           C245     10.
 FeI       2957.365  26 0    10           A164     30. R
 V II      2957.520  23 1    2            A266    100.
 CrII      2957.56   24 1    104,141      A184      5.
 CrII      2958.20   24 1    49           A184      1.
 FeII      2958.528  26 1    160          A 76      1. n
 CrII      2958.54   24 1    97           A184      2.
 FeII      2959.601  26 1    62           A 76      7.
 FeII      2959.841  26 1    180          A 76      4.
 CrII      2959.97   24 1    59           A184     18.
 FeI       2959.992  26 0    316          C278     10.
 FeI       2960.303  26 0    148          V 55      1.
 GdII      2960.926  64 1    25           A225    500.
 FeII      2961.119  26 1    180          A 76         tr
 FeII      2961.272  26 1    2            A 76      5.
 CrII      2961.732  24 1    27,59        B245     50.
 FeI       2962.11   26 0    57           W171      2. :
 RhII      2962.167  45 1    4            A150     75.
 V I       2962.772  23 0    18           C245     30. r
 FeII      2962.936  26 1    160          A 76      1. n
 V II      2963.249  23 1    154          A266      9.
 CrII      2963.46   24 1    58           A184     20.
 GdII      2963.605  64 1                 A225    400.
 CrI       2963.73   24 0                 B184      3. w
 FeII      2963.897  26 1                 A 76      3. n
 FeII      2964.131  26 1    60           A 76      7.
 FeII      2964.629  26 1    8            A 76      9.
 HfI       2964.88   72 0    4            A287    150.
 Y I       2964.96   39 0    11           A254     30.          6.5
 FeII      2965.036  26 1    8            A 76     10.
 CrII      2965.19   24 1    58,160       A184      2.
 TiI       2965.231  22 0 ?  94           E245      6. :
 FeI       2965.25   26 0 P  316                       mFeI
 FeI       2965.255  26 0    10           A164     20.
 FeII      2965.395  26 1    59           A 76      2.
 GdII      2965.428  64 1    29           A225    400.
 TaI       2965.54   73 0    2            A200     20. r
 RuII      2965.564  44 1    4            A272    100.
 TiI       2965.68   22 0    94           E245      8.
 TiI       2965.707  22 0    94           E245     15.
 ScI       2965.86   21 0    11           B253      2. :        6.7
 CrII      2966.051  24 1    33           B245     40.
 FeI       2966.26   26 0    104          U247      2. :
 ZrII      2966.27   40 1    148          A196      2. w       13.97
 FeI       2966.901  26 0    10           G 59    125. R
 TiI       2967.225  22 0    30           E245     25.
 CrI       2967.642  24 0    28           C245     15.
 FeII      2968.119  26 1    160          A 76      0.
 CrII      2968.21   24 1    96           A184      3.
 TiI       2968.231  22 0    29           E245      4.
 V II      2968.373  23 1    28           A266    200.
 CrII      2968.67   24 1    58           A184     15.
 FeII      2968.738  26 1    61           A 76      2.
 HfII      2968.82   72 1    12           A289    120.         14.8
 FeII      2968.906  26 1                 A 76      2.
 ZrII      2968.95   40 1    14           A196     12.
