CH Gband 4290     # Strong in all G stars except those of class G O-Ia and G I; 
CH Gband 4314     # weakens by K2III and K5V. 
Hgamma   4341     # Weakens in later types; disappears at about early M O-Ia, K0III, K7V; stronger in supergiant than dwarfs.
FeI      4384     # The last, trong visible line used in the MK blue system of classification; seen in G0-K7V, F8-K5III, G2-M2Ib, and F9-early M O-Ia; stronger in supergiant than dwarfs.
TiO      4462     # Appears at about M5-M6.
BaII     4554     # Marginally visible in very luminous supergiants; shows very little temperature dependance; visible in F9-K0 (O-Ia and Iab); identifiable to K4Ib, marginally visible at M2Ib; enhanced in Barium and Semmi-Barium stars along with Sr II at 4077 Å.
TiO      4584     # Distinct by M4.
TiO      4626     # Distinct by M4.
TiO      4761     # Barely visible in M1III.
TiO      4804     # Distinct by M3.
MgH      4845     # Visible in late K and M dwarfs as a wide band with maximum absorption at 4780 Å.
TiO      4848     # Distinct by M4.
Hbeta    4861     # Decreasing in strength in later types; not visible at K0 O-Ia,M2Iab, M2Ib, M1.5IIa, K0II, and K2V; most distinct in Iab and Ib.
TiO      4954     # Only TiO band seen clearly from 3800-5000 Å in all lumninosity classes at K5. Strong FeI line blend at 4957 Å.
TiO      5003     # Distinct by M3.
TiO      5167     # Visible by M3III; dominated by Mg "b" in dwarfs.
Mg b     5167     # Visible in all G, K, and M star spectra 
Mg b     5173     # until M4III, M6.5V; 
Mg b     5184     # greatly enhanced in dwarfs.
al blend 5206     # Atomic line blend composed mainly o lines of FeI, TiI, and CrI blended with MgH.
MgH      5211     # Observed as a broad (~300 Å) absorption feature in M dwarfs; degrades toward violet; see Spinrad and Wood (1965).
VO       5228     # Barely visible later than M8III.
TiO      5241     # Blended with atomic lines in middle M stars. Blended with VO at M7III.
al blend 5250     # Strength due primarily to inersystem lines of FeI (a5D-z7D°). Strength increases with luminosity in K and M types (see Fitch an Morgan 1951).
al blend 5270     # Atomic line blend composed primarily of lines of CaI, FeI, TiI, and CrI.
VO       5276     # Present after M8III.
TiO      5448     # Seen in all M stars.
VO       5469     # Seen in M7III or later; increasing strength indicates later types.
TiO      5497     # Seen clearly by M2.
VO       5517     # Present after M7III.
CaOH     5530     # Prominent in dwarfs later than M3;
CaOH     5570     # forms boxline feature which becomes deeper in later types (Pesch 1972).
TiO      5569     # Visible in all M5 and later giants.
OI atm   5570     # Nigth sky emision.
